File,Size,Type,Mean Time (s),Mean Memory (MB),Correct
partially_sorted_1000.json,1000,partially_sorted,0.002538,0.0,Yes
partially_sorted_10000.json,10000,partially_sorted,0.030672,0.0,Yes
partially_sorted_100000.json,100000,partially_sorted,0.41668,0.0,Yes
random_1000.json,1000,random,0.001935,0.0,Yes
random_10000.json,10000,random,0.034006,0.0,Yes
random_100000.json,100000,random,0.481692,0.0,Yes
reversed_1000.json,1000,reversed,0.002845,0.0,Yes
reversed_10000.json,10000,reversed,0.0251,0.0,Yes
reversed_100000.json,100000,reversed,0.350787,0.0,Yes
sorted_1000.json,1000,sorted,0.001245,0.0,Yes
sorted_10000.json,10000,sorted,0.019538,0.0,Yes
sorted_100000.json,100000,sorted,0.319166,0.0,Yes
