File,Size,Type,Mean Time (s),Mean Memory (MB),Correct
partially_sorted_1000.json,1000,partially_sorted,0.002284,0.0,Yes
partially_sorted_10000.json,10000,partially_sorted,0.030434,0.0,Yes
partially_sorted_100000.json,100000,partially_sorted,0.392969,0.0,Yes
random_1000.json,1000,random,0.002076,0.0,Yes
random_10000.json,10000,random,0.028482,0.0,Yes
random_100000.json,100000,random,0.393151,0.0,Yes
reversed_1000.json,1000,reversed,0.00182,0.0,Yes
reversed_10000.json,10000,reversed,0.027393,0.0,Yes
reversed_100000.json,100000,reversed,0.355151,0.0,Yes
sorted_1000.json,1000,sorted,0.002228,0.0,Yes
sorted_10000.json,10000,sorted,0.030336,0.0,Yes
sorted_100000.json,100000,sorted,0.388271,0.0,Yes
