File,Size,Type,Mean Time (s),Mean Memory (MB),Correct
partially_sorted_1000.json,1000,partially_sorted,0.004758,0.0,Yes
partially_sorted_10000.json,10000,partially_sorted,0.421556,0.0,Yes
partially_sorted_100000.json,100000,partially_sorted,47.812766,0.0,Yes
random_1000.json,1000,random,0.021046,0.0,Yes
random_10000.json,10000,random,2.043442,0.0,Yes
random_100000.json,100000,random,242.440481,0.0,Yes
reversed_1000.json,1000,reversed,0.03726,0.0,Yes
reversed_10000.json,10000,reversed,4.141678,0.0,Yes
reversed_100000.json,100000,reversed,439.689252,0.0,Yes
sorted_1000.json,1000,sorted,0.00016,0.0,Yes
sorted_10000.json,10000,sorted,0.001391,0.0,Yes
sorted_100000.json,100000,sorted,0.020556,0.0,Yes
