File,Size,Type,Mean Time (s),Mean Memory (MB),Correct
partially_sorted_1000.json,1000,partially_sorted,0.048781,0.048828125,Yes
partially_sorted_10000.json,10000,partially_sorted,4.901604,0.090625,Yes
partially_sorted_100000.json,100000,partially_sorted,492.926301,0.89453125,Yes
random_1000.json,1000,random,0.04946,0.0,Yes
random_10000.json,10000,random,5.074846,0.0,Yes
random_100000.json,100000,random,546.247347,0.86640625,Yes
reversed_1000.json,1000,reversed,0.051826,0.0,Yes
reversed_10000.json,10000,reversed,5.266844,0.0,Yes
reversed_100000.json,100000,reversed,522.032724,0.82421875,Yes
sorted_1000.json,1000,sorted,0.050869,0.0,Yes
sorted_10000.json,10000,sorted,5.000357,0.0,Yes
sorted_100000.json,100000,sorted,509.702125,0.1,Yes
