File,Size,Type,Mean Time (s),Mean Memory (MB),Correct
partially_sorted_1000.json,1000,partially_sorted,0.001446,0.0,Yes
partially_sorted_10000.json,10000,partially_sorted,0.018392,0.090625,Yes
partially_sorted_100000.json,100000,partially_sorted,0.226487,0.6484375,Yes
random_1000.json,1000,random,0.001581,0.0,Yes
random_10000.json,10000,random,0.01994,0.0,Yes
random_100000.json,100000,random,0.247309,0.14140625,Yes
reversed_1000.json,1000,reversed,0.001126,0.0,Yes
reversed_10000.json,10000,reversed,0.013379,0.0,Yes
reversed_100000.json,100000,reversed,0.154909,0.3515625,Yes
sorted_1000.json,1000,sorted,0.001133,0.0,Yes
sorted_10000.json,10000,sorted,0.012661,0.0,Yes
sorted_100000.json,100000,sorted,0.154691,0.38515625,Yes
