File,Size,Type,Mean Time (s),Mean Memory (MB),Correct
partially_sorted_1000.json,1000,partially_sorted,0.077444,0.0,Yes
partially_sorted_10000.json,10000,partially_sorted,7.639562,0.14765625,Yes
partially_sorted_100000.json,100000,partially_sorted,824.250793,1.0734375,Yes
random_1000.json,1000,random,0.07633,0.0,Yes
random_10000.json,10000,random,8.042183,0.05078125,Yes
random_100000.json,100000,random,1022.797828,0.771875,Yes
reversed_1000.json,1000,reversed,0.075769,0.0,Yes
reversed_10000.json,10000,reversed,7.692933,0.0,Yes
reversed_100000.json,100000,reversed,770.541636,0.56640625,Yes
sorted_1000.json,1000,sorted,0.069588,0.0,Yes
sorted_10000.json,10000,sorted,7.101075,0.0,Yes
sorted_100000.json,100000,sorted,773.23981,0.51484375,Yes
